cdate,acode,aname,scode,sname,fdust,ufdust,ozone,nd,cm,sagas,ozone(ug/m^3),nd(ug/m^3),cm(ug/m^3),sagas(ug/m^3),fdust^2,ufdust^2,ozone^2,nd^2,cm^2,sagas^2
2018-10-13,104,동남권,111273,송파구,27,14.0,0.012,0.03,0.6,0.003,25.71428571428571,61.60714285714286,750.0,8.571428571428573,729.0,196.0,661.2244897959182,3795.4400510204086,562500.0,73.46938775510206
2018-10-13,104,동남권,111262,서초구,36,23.0,0.011,0.038,0.4,0.003,23.57142857142857,78.03571428571429,500.0,8.571428571428573,1296.0,529.0,555.612244897959,6089.572704081634,250000.0,73.46938775510206
2018-10-13,104,동남권,111261,강남구,25,14.0,0.01,0.039,0.4,0.005,21.428571428571427,80.08928571428572,500.0,14.285714285714286,625.0,196.0,459.1836734693877,6414.2936862244915,250000.0,204.08163265306123
2018-10-13,103,서남권,111301,양천구,31,18.0,0.015,0.051,0.6,0.002,32.14285714285714,104.73214285714286,750.0,5.714285714285714,961.0,324.0,1033.1632653061222,10968.821747448981,562500.0,32.6530612244898
2018-10-13,103,서남권,111281,금천구,32,20.0,0.013,0.039,0.5,0.003,27.857142857142854,80.08928571428572,625.0,8.571428571428573,1024.0,400.0,776.0204081632652,6414.2936862244915,390625.0,73.46938775510206
2018-10-13,103,서남권,111251,관악구,48,33.0,0.012,0.043,0.5,0.004,25.71428571428571,88.30357142857143,625.0,11.428571428571429,2304.0,1089.0,661.2244897959182,7797.520727040816,390625.0,130.6122448979592
2018-10-13,103,서남권,111241,동작구,33,18.0,0.015,0.037000000000000005,0.6,0.003,32.14285714285714,75.98214285714288,750.0,8.571428571428573,1089.0,324.0,1033.1632653061222,5773.286033163268,562500.0,73.46938775510206
2018-10-13,103,서남권,111231,영등포구,52,32.0,0.015,0.021,0.7,0.005,32.14285714285714,43.12500000000001,875.0,14.285714285714286,2704.0,1024.0,1033.1632653061222,1859.7656250000007,765625.0,204.08163265306123
2018-10-13,103,서남권,111221,구로구,43,24.0,0.013,0.039,0.3,0.004,27.857142857142854,80.08928571428572,375.0,11.428571428571429,1849.0,576.0,776.0204081632652,6414.2936862244915,140625.0,130.6122448979592
2018-10-13,103,서남권,111212,강서구,31,18.0,0.016,0.041,0.5,0.003,34.285714285714285,84.19642857142858,625.0,8.571428571428573,961.0,324.0,1175.5102040816325,7089.038584183675,390625.0,73.46938775510206
2018-10-13,101,서북권,111191,서대문구,37,26.0,0.013,0.033,0.4,0.003,27.857142857142854,67.76785714285715,500.0,8.571428571428573,1369.0,676.0,776.0204081632652,4592.482461734695,250000.0,73.46938775510206
2018-10-13,100,도심권,111131,용산구,24,18.0,0.012,0.036000000000000004,0.5,0.003,25.71428571428571,73.92857142857144,625.0,8.571428571428573,576.0,324.0,661.2244897959182,5465.43367346939,390625.0,73.46938775510206
2018-10-13,101,서북권,111181,은평구,32,24.0,0.018000000000000002,0.032,0.6,0.004,38.57142857142857,65.71428571428572,750.0,11.428571428571429,1024.0,576.0,1487.7551020408162,4318.367346938777,562500.0,130.6122448979592
2018-10-13,100,도심권,111123,종로구,28,18.0,0.013,0.045,0.6,0.003,27.857142857142854,92.41071428571429,750.0,8.571428571428573,784.0,324.0,776.0204081632652,8539.740114795919,562500.0,73.46938775510206
2018-10-13,100,도심권,111121,중구,29,18.0,0.014,0.04,0.5,0.003,29.999999999999996,82.14285714285715,625.0,8.571428571428573,841.0,324.0,899.9999999999998,6747.448979591838,390625.0,73.46938775510206
2018-10-13,102,동북권,111311,노원구,29,17.0,0.018000000000000002,0.033,0.5,0.004,38.57142857142857,67.76785714285715,625.0,11.428571428571429,841.0,289.0,1487.7551020408162,4592.482461734695,390625.0,130.6122448979592
2018-10-13,102,동북권,111291,강북구,19,15.0,0.018000000000000002,0.026,0.5,0.002,38.57142857142857,53.392857142857146,625.0,5.714285714285714,361.0,225.0,1487.7551020408162,2850.7971938775513,390625.0,32.6530612244898
2018-10-13,102,동북권,111171,도봉구,32,22.0,0.016,0.027000000000000003,0.8,0.004,34.285714285714285,55.446428571428584,1000.0,11.428571428571429,1024.0,484.0,1175.5102040816325,3074.306441326532,1000000.0,130.6122448979592
2018-10-13,102,동북권,111161,성북구,29,16.0,0.01,0.039,0.7,0.003,21.428571428571427,80.08928571428572,875.0,8.571428571428573,841.0,256.0,459.1836734693877,6414.2936862244915,765625.0,73.46938775510206
2018-10-13,102,동북권,111152,동대문구,25,19.0,0.015,0.045,0.5,0.006999999999999999,32.14285714285714,92.41071428571429,625.0,20.0,625.0,361.0,1033.1632653061222,8539.740114795919,390625.0,400.0
2018-10-13,102,동북권,111151,중랑구,22,13.0,0.014,0.03,0.5,0.005,29.999999999999996,61.60714285714286,625.0,14.285714285714286,484.0,169.0,899.9999999999998,3795.4400510204086,390625.0,204.08163265306123
2018-10-13,102,동북권,111142,성동구,30,16.0,0.009000000000000001,0.031,0.3,0.005,19.285714285714285,63.66071428571429,375.0,14.285714285714286,900.0,256.0,371.93877551020404,4052.686543367348,140625.0,204.08163265306123
2018-10-13,102,동북권,111141,광진구,30,16.0,0.012,0.029,0.5,0.005,25.71428571428571,59.55357142857144,625.0,14.285714285714286,900.0,256.0,661.2244897959182,3546.6278698979604,390625.0,204.08163265306123
